price,accommodates,bedrooms,room_type,review_scores_rating,neighbourhood,number_of_reviews,latitude,longitude
218.8,2,1.0,Entire home/apt,4.86,Marrickville,192,-33.9076586,151.1806955
135.79,6,3.0,Entire home/apt,5.0,Warringah,1,-33.77732,151.28451
132.2,2,1.0,Entire home/apt,5.0,North Sydney,2,-33.83291,151.20506
342.35,2,1.0,Entire home/apt,4.99,Pittwater,167,-33.66353,151.32114
593.5,2,2.0,Entire home/apt,5.0,Waverley,17,-33.88841,151.27095
145.5,2,1.0,Entire home/apt,4.88,Ashfield,272,-33.89879,151.13393
219.75,5,2.0,Entire home/apt,4.69,North Sydney,93,-33.84523,151.20213
397.9,4,2.0,Entire home/apt,4.76,Waverley,45,-33.89742,151.2749
570.4,5,3.0,Entire home/apt,4.5,Waverley,14,-33.89823,151.27226
263.24,8,4.0,Entire home/apt,4.67,Warringah,6,-33.73779,151.29851
430.93,4,2.0,Entire home/apt,3.5,Sydney,2,-33.87742,151.22667
496.5,4,2.0,Entire home/apt,4.77,Sydney,39,-33.87764245578722,151.21793281200922
246.0,2,1.0,Entire home/apt,4.71,Waverley,242,-33.90656,151.26392
424.13,4,2.0,Entire home/apt,4.76,Manly,290,-33.79639,151.28638
127.67,4,2.0,Entire home/apt,4.66,Liverpool,277,-33.95667,150.8944
1315.5,8,3.0,Entire home/apt,4.94,Pittwater,72,-33.5899,151.29785
314.56,4,2.0,Entire home/apt,4.44,Sydney,39,-33.873,151.22775
102.71,1,1.0,Private room,4.86,Penrith,297,-33.74559,150.73931
1798.6,9,4.0,Entire home/apt,5.0,Warringah,3,-33.77349,151.27333
567.0,6,2.0,Entire home/apt,4.99,Randwick,210,-33.92294692993164,151.25723266601562
185.0,2,1.0,Entire home/apt,4.65,Waverley,224,-33.90732,151.26283
279.0,2,1.0,Entire home/apt,4.77,North Sydney,292,-33.839399,151.213024
323.33,2,1.0,Entire home/apt,4.79,Manly,87,-33.79783,151.2661
95.33,2,1.0,Private room,4.52,Sydney,124,-33.89987,151.21183
316.0,2,1.0,Entire home/apt,5.0,Marrickville,16,-33.90950307810865,151.14873696475513
420.72,4,2.0,Entire home/apt,5.0,Randwick,4,-33.92047,151.25229
376.6,2,1.0,Entire home/apt,4.75,Sydney,4,-33.88635,151.2098
86.83,2,1.0,Entire home/apt,4.83,Woollahra,35,-33.8879508,151.24471
354.0,2,1.0,Entire home/apt,4.73,Waverley,90,-33.89502,151.27157
784.63,7,3.0,Entire home/apt,5.0,Warringah,3,-33.772062007829284,151.2851508984523
51.67,1,2.0,Private room,4.86,Bankstown,42,-33.90213,151.01591
359.47,6,2.0,Entire home/apt,4.88,Waverley,375,-33.89276,151.27064
326.0,4,2.0,Entire home/apt,4.82,Randwick,418,-33.91357,151.25519
770.5,6,3.0,Entire home/apt,4.94,Sutherland Shire,201,-34.0832,151.15632
235.67,2,1.0,Entire home/apt,4.87,Pittwater,145,-33.69035,151.30319
1293.0,6,3.0,Entire home/apt,4.94,Pittwater,16,-33.60659,151.33184
445.5,2,1.0,Entire home/apt,4.87,Pittwater,424,-33.62646,151.3169
205.5,2,1.0,Entire home/apt,4.97,Manly,264,-33.79795,151.26581
198.57,2,1.0,Entire home/apt,4.91,Warringah,55,-33.76168513398629,151.2956805815789
394.5,4,2.0,Entire home/apt,4.59,Woollahra,79,-33.87389,151.24643
188.19,4,2.0,Entire home/apt,4.89,Sydney,83,-33.87119354060643,151.19894763933607
539.43,2,1.0,Entire home/apt,4.86,Woollahra,7,-33.86741,151.27077
371.0,4,2.0,Entire home/apt,4.76,Waverley,238,-33.90579,151.26323
225.9,3,1.0,Entire home/apt,4.87,Manly,212,-33.79527,151.2859
556.4,5,2.0,Entire home/apt,4.98,Manly,125,-33.79055,151.28266
369.34,8,4.0,Entire home/apt,4.75,Pittwater,4,-33.64233,151.32141
594.0,4,1.0,Entire home/apt,4.69,Waverley,265,-33.88599,151.2771
585.0,4,2.0,Entire home/apt,4.71,Waverley,196,-33.8975414,151.2744651
323.8,4,2.0,Entire home/apt,4.64,Sydney,36,-33.89007,151.2062
385.5,5,2.0,Entire home/apt,4.79,Waverley,116,-33.88777,151.27679
445.2,6,3.0,Entire home/apt,4.89,Pittwater,122,-33.65269,151.31526
659.98,9,4.0,Entire home/apt,4.68,Waverley,19,-33.88839,151.27536
918.4,6,4.0,Entire home/apt,4.7,Mosman,20,-33.82127,151.24169
200.74,6,3.0,Entire home/apt,5.0,Woollahra,18,-33.88121,151.23858
750.0,4,2.0,Entire home/apt,4.78,Woollahra,243,-33.88909,151.24175
1428.79,10,5.0,Entire home/apt,4.5,Warringah,2,-33.75837,151.24892
54.97,3,2.0,Entire home/apt,5.0,Willoughby,2,-33.79674,151.19081
289.33,2,1.0,Entire home/apt,4.93,North Sydney,86,-33.8325,151.22747
1941.75,7,3.0,Entire home/apt,5.0,Manly,3,-33.79386138916016,151.28602600097656
981.6,7,4.0,Entire home/apt,4.73,Randwick,11,-33.91302,151.25185
1360.6,8,4.0,Entire home/apt,5.0,Waverley,2,-33.90639,151.26723
469.63,8,4.0,Entire home/apt,5.0,Warringah,1,-33.77835,151.28827
1980.86,8,4.0,Entire home/apt,5.0,Warringah,9,-33.77355,151.28947
1269.25,8,4.0,Entire home/apt,4.67,Mosman,6,-33.8233,151.2484
274.0,2,1.0,Entire home/apt,4.79,Sydney,112,-33.88858,151.21623
80.05,4,2.0,Entire home/apt,5.0,Marrickville,6,-33.89577,151.14735
1524.29,10,5.0,Entire home/apt,5.0,Warringah,7,-33.77365,151.28433
180.37,4,2.0,Entire home/apt,5.0,Waverley,2,-33.88795,151.26827
360.8,2,1.0,Entire home/apt,4.77,Sydney,57,-33.87175,151.22878
1042.0,8,4.0,Entire home/apt,4.84,Waverley,37,-33.88988,151.26946
328.8,3,2.0,Entire home/apt,4.89,Sydney,9,-33.87329717047489,151.22361728880148
564.39,9,4.0,Entire home/apt,5.0,North Sydney,18,-33.81989,151.21255
49.37,2,1.0,Entire home/apt,4.83,Sutherland Shire,427,-34.05432,151.13317
35.62,2,13.0,Private room,4.63,Willoughby,16,-33.8002,151.21852
593.5,5,2.0,Entire home/apt,4.75,Sydney,456,-33.86951,151.19754
518.0,5,2.0,Entire home/apt,4.63,Waverley,153,-33.89756,151.27445
1141.33,4,2.0,Entire home/apt,4.81,Pittwater,64,-33.64234346517324,151.32220132368835
367.5,2,1.0,Private room,4.81,Waverley,105,-33.88889,151.27171
264.54,4,2.0,Entire home/apt,4.83,Sydney,6,-33.89589,151.2273
382.33,5,3.0,Entire home/apt,4.77,Leichhardt,13,-33.86420822143555,151.16998291015625
312.8,4,2.0,Entire home/apt,4.94,Sydney,209,-33.89404,151.21044
109.48,4,2.0,Entire home/apt,5.0,Sydney,1,-33.89582,151.20369
60.4,2,1.0,Entire home/apt,5.0,Warringah,6,-33.78053,151.29108
208.5,2,1.0,Entire home/apt,4.8,Woollahra,535,-33.88674545288086,151.23484802246094
158.97,4,2.0,Entire home/apt,4.93,Sydney,42,-33.89935,151.18923
163.0,2,1.0,Entire home/apt,4.9,Woollahra,340,-33.87903,151.22841
498.71,4,2.0,Entire home/apt,4.83,Manly,12,-33.78848,151.23975
255.63,3,1.0,Entire home/apt,4.57,Sydney,278,-33.87455,151.22334
98.84,2,1.0,Entire home/apt,4.92,Woollahra,66,-33.88239,151.22461
68.23,5,2.0,Entire home/apt,4.63,Waverley,63,-33.8906613,151.2737628
