LGA,LGA_code,LGA_type,total_net_exp,SEIFA_dis_score,SEIFA_dis_rank,SEIFA_dis_rank_country,SEIFA_dis_rank_metro,SEIFA_ADVDIS_score,SEIFA_ADVDIS_rank_state,SEIFA_ADVDIS_rank_country,SEIFA_ADVDIS_rank_metro,adult_pop,adults_per_venue,egm_per_1000,exp_per_adult,workforce,unemployed,ue_rate,SEIFA_disadvantage,LGA_new2,LGA_new
City of Yarra,M4,Metro,29842339.2,1045.741429,69,0,23,1107.861254,77,0,28,88438.08394493589,12634.0119921337,3.2565155999910305,337.4376498091105,67799,3272,0.0482602988244664,942.1745703694552,Rural,2
City of Maribyrnong,M5,Metro,66253194.45,1009.717021,48,0,9,1044.594148,62,0,16,78609.09521721813,8734.343913024237,5.991673084374016,842.8184329933395,61101,2457,0.0402121078214759,563.4002991856685,Metro,1
City of Stonnington,M6,Metro,19809877.19,1084.476004,76,0,28,1129.989129,79,0,30,97486.40742114534,24371.60185528633,2.041310222258081,203.20655683228236,72834,1856,0.0254826042782217,817.2594812680233,Rural,2
City of Glen Eira,M7,Metro,71755193.09,1074.592644,74,0,27,1102.847404,75,0,26,124741.97091812664,13860.21899090296,5.226789309172731,575.2289511049647,94822,2661,0.0280631077176182,809.294691215587,Rural,2
City of Bayside,M8,Metro,12380460.230000002,1090.406575,79,0,30,1127.126354,78,0,29,82672.82856997922,27557.60952332641,1.6692304156883728,149.75246939229183,59319,1227,0.0206847721640621,844.98360760227,Metro,1
City of Moonee Valley,M9,Metro,85434267.05,1040.715483,62,0,16,1059.755144,66,0,19,104151.91244493944,9468.355676812676,7.162614516506143,820.2851493021346,76284,2975,0.0389990037229301,713.6118283118017,Rural,2
Shire of Buloke,C7,Country,0.0,975.0490374,24,21,0,946.0568513,22,20,0,5012.069907313837,0.0,0.0,0.0,3269,95,0.029060874885286,939.0470795665608,Rural,2
Shire of Golden Plains,C32,Country,0.0,1039.942689,61,45,0,996.946464,52,44,0,19535.25745879043,0.0,0.0,0.0,14369,409,0.0284640545619041,887.8059286344845,Metro,1
Shire of Hindmarsh,C8,Country,0.0,940.1013668,6,4,0,922.8301517,8,7,0,4565.12346201177,0.0,0.0,0.0,2916,107,0.0366941015089163,834.7812106408908,Metro,1
Shire of Indigo,C35,Country,0.0,1029.417236,59,44,0,996.2871485,51,43,0,14057.84925181001,0.0,0.0,0.0,9571,202,0.021105422630864,785.3473212321528,Rural,2
Shire of Loddon,C46,Country,0.0,948.1040223,11,8,0,924.8063462,10,9,0,6371.733134351878,0.0,0.0,0.0,3652,147,0.0402519167579408,767.6408675182475,Rural,2
Shire of Moyne,C36,Country,0.0,1028.978572,58,43,0,998.4238392,53,45,0,13797.11171991639,0.0,0.0,0.0,9818,125,0.0127317172540232,943.4542569489664,Metro,1
Shire of Pyrenees,C44,Country,0.0,958.6908796,17,14,0,929.2570974,14,12,0,6394.974139557322,0.0,0.0,0.0,3451,184,0.0533178788756882,963.0944444360262,Metro,1
Shire of West Wimmera,C39,Country,0.0,991.0072971,33,28,0,971.1690792,39,36,0,3164.891613415179,0.0,0.0,0.0,2188,64,0.0292504570383912,911.306106089156,Regional,3
Shire of Yarriambiack,C40,Country,0.0,945.9260556,10,7,0,923.0242366,9,8,0,5183.613840300105,0.0,0.0,0.0,3181,130,0.040867651681861,907.9688729178368,Rural,2
