id,name,price,accommodates,bedrooms,room_type,review_scores_rating,neighbourhood,number_of_reviews
1217911415882602890,Apartment 2 Bedroom in CBD Bankstown,$320.00,5,2.0,Entire home/apt,4.94,Bankstown,66
804084552369782519,"A Great choice*3 Bedrooms,free dryer (granny flat)",$361.67,8,3.0,Entire home/apt,4.94,Fairfield,18
775781152137066823,Luxury Waterside Home,"$1,485.24",12,4.0,Entire home/apt,4.97,City Of Kogarah,34
19283035,Spacious Studio Surrounded By Great Views,$198.00,3,1.0,Entire home/apt,4.8,North Sydney,265
1551010830525892676,Sydney City Stylish Retreat,$295.00,2,1.0,Entire home/apt,4.97,Sydney,29
1623437553780483616,Sydney Marsden Park 5 bedrooms House close IKEA,$579.72,10,5.0,Entire home/apt,,Blacktown,0
998996524147164097,Modern Private Studio in Sydney CBD,$278.50,2,1.0,Entire home/apt,4.95,Sydney,37
1561550077807693311,Liverpool CBD Modern 2BR Stay,$204.00,5,2.0,Entire home/apt,4.39,Liverpool,23
1514874683234272318,A Private bedroom,$120.00,2,1.0,Private room,4.79,Marrickville,34
1330092820439625224,Camperdown Cozy Corner 3,$490.00,6,2.0,Entire home/apt,4.9,Sydney,42
1093034736449457120,"Comfy, leafy Kirrawee in Sth Syd 6km to Cronulla",$88.50,1,1.0,Private room,4.98,Sutherland Shire,60
1471417071578589621,Marsfield townhouse on the park,$294.71,5,3.0,Entire home/apt,3.0,Ryde,2
1572002784349678591,Large flat/studio with Lounge + Ensuite + 2 Beds,$132.50,4,1.0,Private room,5.0,Ku-Ring-Gai,1
5163979,RESORT STYLE BY THE BAY,$149.00,2,,Private room,4.91,Sydney,582
1695569349290275845,Neutral bay -One bed Flat with iconic skyline view,$181.00,1,1.0,Entire home/apt,,North Sydney,0
42126020,Beautiful Double bed room in leafy garden Beecroft,$68.67,2,,Private room,4.67,Hornsby,6
1535982410345108539,Anam by the Sea | Beach & Royal National Park,$216.00,2,1.0,Entire home/apt,5.0,Sutherland Shire,31
35912406,Single bed room in a friendly environment.,,1,,Private room,4.88,Warringah,139
41719398,UndraA,$33.40,1,1.0,Private room,5.0,Canterbury,1
